Sl_No,State,District,District_Code,Crop,Season,Sowing_Period,Harvesting_Period,Sow_From_Day,Sow_From_Mon,Sow_To_Day,Sow_To_Mon,Harv_From_Day,Harv_From_Mon,Harv_To_Day,Harv_To_Mon,PDF_Page
2222,Rajashthan,Alwar,104,Barley,Rabi,15 Nov- 15 Dec,15 Mar- 15 Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,48
2223,Rajashthan,Alwar,104,Chickpea,Rabi,15 Nov- 15 Dec,15 Mar- 15 Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,48
2224,Rajashthan,Alwar,104,Mustard,Rabi,01 Oct- 07 Nov,20 Feb- 30 Mar,1.0,10.0,7.0,11.0,20.0,2.0,30.0,3.0,48
2225,Rajashthan,Alwar,104,Cumin,Rabi,30 Sep- 30 Oct,15 Feb- 15 Mar,30.0,9.0,30.0,10.0,15.0,2.0,15.0,3.0,48
2226,Rajashthan,Alwar,104,Rabi Maize,Rabi,,,,,,,,,,,48
2227,Rajashthan,Alwar,104,Greengram,Summer,,,,,,,,,,,48
2228,Rajashthan,Alwar,104,Groundnut,Summer,,,,,,,,,,,48
2229,Rajashthan,Banswara,125,Pearlmillet,Kharif,,,,,,,,,,,48
2230,Rajashthan,Banswara,125,Sorghum,Kharif,,,,,,,,,,,48
2231,Rajashthan,Banswara,125,Maize,Kharif,,,,,,,,,,,48
2232,Rajashthan,Banswara,125,Paddy,Kharif,15 June- 30 June,Mid Sep- Mid Oct,15.0,6.0,30.0,6.0,15.0,9.0,15.0,10.0,48
2233,Rajashthan,Banswara,125,Soybean,Kharif,Mid June,Mid Oct,15.0,6.0,,,15.0,10.0,,,48
2234,Rajashthan,Banswara,125,Greengram,Kharif,15 June- 15 July,Mid Oct,15.0,6.0,15.0,7.0,15.0,10.0,,,48
2235,Rajashthan,Banswara,125,Blackgram,Kharif,Mid June,II fortnight of Sep,15.0,6.0,,,22.0,9.0,,,48
2236,Rajashthan,Banswara,125,Cow pea,Kharif,Mid June,II fortnight of Sep,15.0,6.0,,,22.0,9.0,,,48
2237,Rajashthan,Banswara,125,Clusterbean,Kharif,,,,,,,,,,,48
2238,Rajashthan,Banswara,125,Groundnut,Kharif,,,,,,,,,,,48
2239,Rajashthan,Banswara,125,Pigeonpea,Kharif,10 Jun- 10 July,Mid Oct,10.0,6.0,10.0,7.0,15.0,10.0,,,48
2240,Rajashthan,Banswara,125,Sesame,Kharif,,,,,,,,,,,48
2241,Rajashthan,Banswara,125,Onion,Kharif,,,,,,,,,,,48
2242,Rajashthan,Banswara,125,Cotton,Kharif,,,,,,,,,,,48
2243,Rajashthan,Banswara,125,Wheat,Rabi,,,,,,,,,,,48
2244,Rajashthan,Banswara,125,Barley,Rabi,05- 25 Nov,Last wk of Mar,5.0,11.0,25.0,11.0,25.0,3.0,,,48
2245,Rajashthan,Banswara,125,Chickpea,Rabi,Mid Oct- Mid Nov,1st wk of Mar,15.0,10.0,15.0,11.0,4.0,3.0,,,48
2246,Rajashthan,Banswara,125,Mustard,Rabi,,,,,,,,,,,49
2247,Rajashthan,Banswara,125,Cumin,Rabi,I wk of Oct,Mid Feb- Mid Mar,4.0,10.0,,,15.0,2.0,15.0,3.0,49
2248,Rajashthan,Banswara,125,Rabi Maize,Rabi,,,,,,,,,,,49
2249,Rajashthan,Banswara,125,Greengram,Summer,25 Oct- 15 Nov,Mid May,25.0,10.0,15.0,11.0,15.0,5.0,,,49
2250,Rajashthan,Banswara,125,Groundnut,Summer,15 Feb- 15 Mar,II forthnight of May,15.0,2.0,15.0,3.0,2.0,,,,49
2251,Rajashthan,Banswara,125,Groundnut,Summer,Mid Feb,Mid June,15.0,2.0,,,15.0,6.0,,,49
2252,Rajashthan,Baran,128,Pearlmillet,Kharif,,,,,,,,,,,49
2253,Rajashthan,Baran,128,Sorghum,Kharif,,,,,,,,,,,49
2254,Rajashthan,Baran,128,Maize,Kharif,15-25 June,II wk of Oct.,15.0,6.0,25.0,6.0,11.0,10.0,,,49
2255,Rajashthan,Baran,128,Paddy,Kharif,20-30 |une,II wk of Oct,20.0,,30.0,,11.0,10.0,,,49
2256,Rajashthan,Baran,128,Soybean,Kharif,15-25 June,1st wk of Oct.,15.0,6.0,25.0,6.0,4.0,10.0,,,49
2257,Rajashthan,Baran,128,Greengram,Kharif,25 June- 15 July,Last Wk of Sep.,25.0,6.0,15.0,7.0,25.0,9.0,,,49
2258,Rajashthan,Baran,128,Blackgram,Kharif,25 June- 15 July,Last Wk of Sep.,25.0,6.0,15.0,7.0,25.0,9.0,,,49
2259,Rajashthan,Baran,128,Moth,Kharif,,,,,,,,,,,49
2260,Rajashthan,Baran,128,Clusterbean,Kharif,,,,,,,,,,,49
2261,Rajashthan,Baran,128,Groundnut,Kharif,,,,,,,,,,,49
2262,Rajashthan,Baran,128,Pigeonpea,Kharif,,,,,,,,,,,49
2263,Rajashthan,Baran,128,Sesame,Kharif,,,,,,,,,,,49
2264,Rajashthan,Baran,128,Castor,Kharif,,,,,,,,,,,49
2265,Rajashthan,Baran,128,Wheat,Rabi,I wk-III wk of Nov,I wk- II wk of April,1.0,,18.0,11.0,1.0,,11.0,4.0,49
2266,Rajashthan,Baran,128,Barley,Rabi,,,,,,,,,,,49
2267,Rajashthan,Baran,128,Chickpea,Rabi,15 Sep-15 0ct(R/F) 10 0ct-25 0ct(l],II Wk of March,15.0,9.0,25.0,,11.0,3.0,,,49
2268,Rajashthan,Baran,128,Lentil,Rabi,15 Oct- 15 Nov,II Wk of March,15.0,10.0,15.0,11.0,11.0,3.0,,,49
2269,Rajashthan,Baran,128,Mustard,Rabi,15 Sep-15 Oct (R/F) 10 Oct-25 Oct (I ),II Wk of March,15.0,9.0,25.0,10.0,11.0,3.0,,,49
2270,Rajashthan,Baran,128,Taramira,Rabi,,,,,,,,,,,49
2271,Rajashthan,Baran,128,Coriander,Rabi,15 Oct- 15 Nov,II Wk of March,15.0,10.0,15.0,11.0,11.0,3.0,,,49
2272,Rajashthan,Baran,128,Cumin,Rabi,,,,,,,,,,,49
2273,Rajashthan,Baran,128,Fenugreek,Rabi,,,,,,,,,,,49
2274,Rajashthan,Baran,128,Oat,Rabi,,,,,,,,,,,49
2275,Rajashthan,Baran,128,Isbgol,Rabi,,,,,,,,,,,49
2276,Rajashthan,Baran,128,Pearlmillet,Summer,,,,,,,,,,,49
2277,Rajashthan,Barmer,115,Pearlmillet,Kharif,25 June- 25 July,15 Sep- 30 Sep,25.0,6.0,25.0,7.0,15.0,9.0,30.0,9.0,49
2278,Rajashthan,Barmer,115,Sorghum,Kharif,25 June- 25 July,20 Sep- 30 Sep,25.0,6.0,25.0,7.0,20.0,9.0,30.0,9.0,49
2279,Rajashthan,Barmer,115,Maize,Kharif,,,,,,,,,,,49
2280,Rajashthan,Barmer,115,Paddy,Kharif,,,,,,,,,,,49
2281,Rajashthan,Barmer,115,Soybean,Kharif,,,,,,,,,,,49
2282,Rajashthan,Barmer,115,Greengram,Kharif,01 July- 25 July,10 Sep- 20 Sep,1.0,7.0,25.0,7.0,10.0,9.0,20.0,9.0,49
2283,Rajashthan,Barmer,115,Blackgram,Kharif,,,,,,,,,,,49
2284,Rajashthan,Barmer,115,Moth,Kharif,01 July- 25 July,10 Sep- 20 Sep,1.0,7.0,25.0,7.0,10.0,9.0,20.0,9.0,49
2285,Rajashthan,Barmer,115,Clusterbean,Kharif,01 July- 25 July,01 Oct- 20 Oct,1.0,7.0,25.0,7.0,1.0,10.0,20.0,10.0,49
2286,Rajashthan,Barmer,115,Groundnut,Kharif,15Jun-30June,20 Oct- 10 Nov,15.0,6.0,30.0,6.0,20.0,10.0,10.0,11.0,49
2287,Rajashthan,Barmer,115,Pigeonpea,Kharif,,,,,,,,,,,49
2288,Rajashthan,Barmer,115,Sesame,Kharif,25 June- 25 July,25 Sep- 15 Oct,25.0,6.0,25.0,7.0,25.0,9.0,15.0,10.0,49
2289,Rajashthan,Barmer,115,Castor,Kharif,25 July- 10 Aug,25 Feb- 30 Mar,25.0,7.0,10.0,8.0,25.0,2.0,30.0,3.0,49
2290,Rajashthan,Barmer,115,Wheat,Rabi,05 Nov- 15 Dec,20 Mar- 20 Apr,5.0,11.0,15.0,12.0,20.0,3.0,20.0,4.0,49
2291,Rajashthan,Barmer,115,Barley,Rabi,05 Nov- 15 Dec,05 Mar- 15 Apr,5.0,11.0,15.0,12.0,5.0,3.0,15.0,4.0,49
2292,Rajashthan,Barmer,115,Chickpea,Rabi,15 Oct- 15 Nov,01 Mar- 30 Mar,15.0,10.0,15.0,11.0,1.0,3.0,30.0,3.0,49
2293,Rajashthan,Barmer,115,Lentil,Rabi,,,,,,,,,,,49
2294,Rajashthan,Barmer,115,Mustard,Rabi,15 Sep- 20 Oct,10 Feb- 15 Mar,15.0,9.0,20.0,10.0,10.0,2.0,15.0,3.0,50
2295,Rajashthan,Barmer,115,Taramira,Rabi,15 Sep- 20 Oct,10 Feb- 25 Feb,15.0,9.0,20.0,10.0,10.0,2.0,25.0,2.0,50
2296,Rajashthan,Barmer,115,Coriander,Rabi,,,,,,,,,,,50
2297,Rajashthan,Barmer,115,Cumin,Rabi,10 Nov- 25 Nov,10 Mar- 25 Mar,10.0,11.0,25.0,11.0,10.0,3.0,25.0,3.0,50
2298,Rajashthan,Barmer,115,Fenugreek,Rabi,20 Oct- 10 Nov,15 Mar- 30 Mar,20.0,10.0,10.0,11.0,15.0,3.0,30.0,3.0,50
2299,Rajashthan,Barmer,115,Oat,Rabi,05 Nov- 05 Dec,05 Mar- 10 Apr,5.0,11.0,5.0,12.0,5.0,3.0,10.0,4.0,50
2300,Rajashthan,Barmer,115,Isbgol,Rabi,10 Nov- 25 Nov,10 Mar- 25 Mar,10.0,11.0,25.0,11.0,10.0,3.0,25.0,3.0,50
2301,Rajashthan,Barmer,115,Pearlmillet,Summer,05Feb-25Feb,05 May- 25 May,5.0,2.0,25.0,2.0,5.0,5.0,25.0,5.0,50
2302,Rajashthan,Bharatpur,105,Pearlmillet,Kharif,20Jun-20July,10 Sep- 10 Oct,20.0,6.0,20.0,7.0,10.0,9.0,10.0,10.0,50
2303,Rajashthan,Bharatpur,105,Sorghum,Kharif,,,,,,,,,,,50
2304,Rajashthan,Bharatpur,105,Maize,Kharif,,,,,,,,,,,50
2305,Rajashthan,Bharatpur,105,Paddy,Kharif,,,,,,,,,,,50
2306,Rajashthan,Bharatpur,105,Soybean,Kharif,,,,,,,,,,,50
2307,Rajashthan,Bharatpur,105,Greengram,Kharif,Last wk Jun- 15 July,15 Sep- 30 Sep,25.0,6.0,15.0,7.0,15.0,9.0,30.0,9.0,50
2308,Rajashthan,Bharatpur,105,Blackgram,Kharif,,,,,,,,,,,50
2309,Rajashthan,Bharatpur,105,Moth,Kharif,,,,,,,,,,,50
2310,Rajashthan,Bharatpur,105,Clusterbean,Kharif,15 Jun-15 July,25 Sep- 15 Nov,15.0,6.0,15.0,7.0,25.0,9.0,15.0,11.0,50
2311,Rajashthan,Bharatpur,105,Groundnut,Kharif,,,,,,,,,,,50
2312,Rajashthan,Bharatpur,105,Pigeonpea,Kharif,,,,,,,,,,,50
2313,Rajashthan,Bharatpur,105,Sesame,Kharif,25 Jun- 15 July,10 Sep- 30 Sep,25.0,6.0,15.0,7.0,10.0,9.0,30.0,9.0,50
2314,Rajashthan,Bharatpur,105,Castor,Kharif,,,,,,,,,,,50
2315,Rajashthan,Bharatpur,105,Wheat,Rabi,15 Nov- 15 Dec,15 Mar- 15 Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,50
2316,Rajashthan,Bharatpur,105,Barley,Rabi,15 Nov- 15 Dec,15 Mar- 15 Apr,15.0,11.0,15.0,12.0,15.0,3.0,15.0,4.0,50
2317,Rajashthan,Bharatpur,105,Chickpea,Rabi,01 Oct- 07 Nov,20 Feb- 30 Mar,1.0,10.0,7.0,11.0,20.0,2.0,30.0,3.0,50
2318,Rajashthan,Bharatpur,105,Lentil,Rabi,15 Oct- 15 Nov,25 Feb- 30 Mar,15.0,10.0,15.0,11.0,25.0,2.0,30.0,3.0,50
2319,Rajashthan,Bharatpur,105,Mustard,Rabi,30 Sep- 30 Oct,15 Feb- 15 Mar,30.0,9.0,30.0,10.0,15.0,2.0,15.0,3.0,50
2320,Rajashthan,Bharatpur,105,Taramira,Rabi,,,,,,,,,,,50
2321,Rajashthan,Bharatpur,105,Coriander,Rabi,,,,,,,,,,,50
2322,Rajashthan,Bharatpur,105,Cumin,Rabi,,,,,,,,,,,50
2323,Rajashthan,Bharatpur,105,Fenugreek,Rabi,,,,,,,,,,,50
2324,Rajashthan,Bharatpur,105,Oat,Rabi,,,,,,,,,,,50
2325,Rajashthan,Bharatpur,105,Isbgol,Rabi,,,,,,,,,,,50
2326,Rajashthan,Bharatpur,105,Pearlmillet,Summer,,,,,,,,,,,50
2327,Rajashthan,Chittorgarh,126,Pearlmillet,Kharif,15 June- 15 July,Mid Sep,15.0,6.0,15.0,7.0,15.0,9.0,,,50
2328,Rajashthan,Chittorgarh,126,Sorghum,Kharif,15 June- 30 June,Mid Sep- Mid Oct,15.0,6.0,30.0,6.0,15.0,9.0,15.0,10.0,50
2329,Rajashthan,Chittorgarh,126,Maize,Kharif,15 June- 30 June,Mid Sep- Mid Oct,15.0,6.0,30.0,6.0,15.0,9.0,15.0,10.0,50
2330,Rajashthan,Chittorgarh,126,Soybean,Kharif,15 June- 15 July,Mid Oct,15.0,6.0,15.0,7.0,15.0,10.0,,,50
2331,Rajashthan,Chittorgarh,126,Greengram,Kharif,Mid June,II fortnight of Sep,15.0,6.0,,,22.0,9.0,,,50
2332,Rajashthan,Chittorgarh,126,Blackgram,Kharif,Mid June,II fortnight of Sep,15.0,6.0,,,22.0,9.0,,,50
2333,Rajashthan,Chittorgarh,126,Moth,Kharif,,,,,,,,,,,50
2334,Rajashthan,Chittorgarh,126,Clusterbean,Kharif,,,,,,,,,,,50
2335,Rajashthan,Chittorgarh,126,Groundnut,Kharif,10 Jun- 10 July,Mid Oct,10.0,6.0,10.0,7.0,15.0,10.0,,,50
2336,Rajashthan,Chittorgarh,126,Foxtail Millet,Kharif,Last wk of June,Mid Oct,25.0,6.0,,,15.0,10.0,,,50
2337,Rajashthan,Chittorgarh,126,Sesame,Kharif,Mid July,Mid Oct,15.0,7.0,,,15.0,10.0,,,50
2338,Rajashthan,Chittorgarh,126,Cotton,Kharif,,,,,,,,,,,50
2339,Rajashthan,Chittorgarh,126,Wheat,Rabi,05-25 Nov,Last wk of Mar,5.0,11.0,25.0,11.0,25.0,3.0,,,50
2340,Rajashthan,Chittorgarh,126,Barley,Rabi,Mid Oct- Mid Nov,I fortnight of Mar,15.0,10.0,15.0,11.0,7.0,3.0,,,50
2341,Rajashthan,Chittorgarh,126,Chickpea,Rabi,1st wk of Oct,Mid Mar,4.0,10.0,,,15.0,3.0,,,50
2342,Rajashthan,Chittorgarh,126,Opium,Rabi,25 Oct- 05 Nov,Mid Mar,25.0,10.0,5.0,11.0,15.0,3.0,,,51
2343,Rajashthan,Chittorgarh,126,Mustard,Rabi,1st wk of Oct,Mid Feb- Mid Mar,4.0,10.0,,,15.0,2.0,15.0,3.0,51
2344,Rajashthan,Chittorgarh,126,Taramira,Rabi,,,,,,,,,,,51
2345,Rajashthan,Chittorgarh,126,Cumin,Rabi,,,,,,,,,,,51
2346,Rajashthan,Chittorgarh,126,Fenugreek,Rabi,,,,,,,,,,,51
2347,Rajashthan,Chittorgarh,126,Isbgol,Rabi,,,,,,,,,,,51
2348,Rajashthan,Chittorgarh,126,Greengram,Summer,15 Feb- 15 Mar,II fortnight of May,15.0,2.0,15.0,3.0,22.0,5.0,,,51
2349,Rajashthan,Chittorgarh,126,Groundnut,Summer,Mid Feb,Mid June,15.0,2.0,,,15.0,6.0,,,51
2350,Rajashthan,Churu,102,Pearlmillet,Kharif,15 Jun-15 July,15 Oct- 25 Oct,15.0,6.0,15.0,7.0,15.0,10.0,25.0,10.0,51
2351,Rajashthan,Churu,102,Sorghum,Kharif,,,,,,,,,,,51
2352,Rajashthan,Churu,102,Maize,Kharif,,,,,,,,,,,51
2353,Rajashthan,Churu,102,Soybean,Kharif,,,,,,,,,,,51
2354,Rajashthan,Churu,102,Greengram,Kharif,15 Jun-15 July,10 Oct -15 Oct,15.0,6.0,15.0,7.0,10.0,10.0,15.0,10.0,51
2355,Rajashthan,Churu,102,Blackgram,Kharif,,,,,,,,,,,51
2356,Rajashthan,Churu,102,Moth,Kharif,15 Jun-15 July,10 Oct -15 Oct,15.0,6.0,15.0,7.0,10.0,10.0,15.0,10.0,51
2357,Rajashthan,Churu,102,Clusterbean,Kharif,25 Jun-15 July,10 Oct -31 Oct,25.0,6.0,15.0,7.0,10.0,10.0,31.0,10.0,51
2358,Rajashthan,Churu,102,Groundnut,Kharif,15 June-30 June,Mid Nov.,15.0,6.0,30.0,6.0,15.0,11.0,,,51
2359,Rajashthan,Churu,102,Foxtail Millet,Kharif,,,,,,,,,,,51
2360,Rajashthan,Churu,102,Sesame,Kharif,15 Jun-15 July,10 Oct -15 Oct,15.0,6.0,15.0,7.0,10.0,10.0,15.0,10.0,51
2361,Rajashthan,Churu,102,Cotton,Kharif,15 Apr-15 May,150ct-310ct,15.0,4.0,15.0,5.0,15.0,,31.0,,51
2362,Rajashthan,Churu,102,Wheat,Rabi,10 Nov-25 Nov,10 Apr-20 Apr,10.0,11.0,25.0,11.0,10.0,4.0,20.0,4.0,51
2363,Rajashthan,Churu,102,Barley,Rabi,15 Nov- 5 Dec,25 Mar- 5 Apr,15.0,11.0,5.0,12.0,25.0,3.0,5.0,4.0,51
2364,Rajashthan,Churu,102,Chickpea,Rabi,10 Oct- 5 Nov,10 Mar -20 Mar,10.0,10.0,5.0,11.0,10.0,3.0,20.0,3.0,51
2365,Rajashthan,Churu,102,Opium,Rabi,,,,,,,,,,,51
2366,Rajashthan,Churu,102,Mustard,Rabi,15 Oct- 10 Nov,I wk to II wkof Mar,15.0,10.0,10.0,11.0,1.0,,2.0,,51
2367,Rajashthan,Churu,102,Taramira,Rabi,15 Oct- 31 Oct,I wk to II wk of Mar,15.0,10.0,31.0,10.0,1.0,,11.0,3.0,51
2368,Rajashthan,Churu,102,Cumin,Rabi,01 Nov- IS Nov,10 Mar -15 Mar,1.0,11.0,,,10.0,3.0,15.0,3.0,51
2369,Rajashthan,Churu,102,Fenugreek,Rabi,01 Nov- 15 Nov,25 Mar -05 Apr,1.0,11.0,15.0,11.0,25.0,3.0,5.0,4.0,51
2370,Rajashthan,Churu,102,Isbgol,Rabi,01 Nov- 15 Nov,10 Mar -20 Mar,1.0,11.0,15.0,11.0,10.0,3.0,20.0,3.0,51
2371,Rajashthan,Churu,102,Greengram,Summer,,,,,,,,,,,51
2372,Rajashthan,Churu,102,Groundnut,Summer,,,,,,,,,,,51
2373,Rajashthan,Dausa,109,Pearlmillet,Kharif,15 June- 25 July,IS- 30 Sep,15.0,6.0,25.0,7.0,,,30.0,9.0,51
2374,Rajashthan,Dausa,109,Sorghum,Kharif,25 June- 15 July,15- 30 Oct,25.0,6.0,15.0,7.0,15.0,10.0,30.0,10.0,51
2375,Rajashthan,Dausa,109,Maize,Kharif,15 June- 30 June,25 Sep- 05 Oct,15.0,6.0,30.0,6.0,25.0,9.0,5.0,10.0,51
2376,Rajashthan,Dausa,109,Soybean,Kharif,,,,,,,,,,,51
2377,Rajashthan,Dausa,109,Greengram,Kharif,Onset of Monsoon- 30 July,15- 30 Oct,,,30.0,7.0,15.0,10.0,30.0,10.0,51
2378,Rajashthan,Dausa,109,Blackgram,Kharif,,,,,,,,,,,51
2379,Rajashthan,Dausa,109,Moth,Kharif,,,,,,,,,,,51
2380,Rajashthan,Dausa,109,Clusterbean,Kharif,Last wk Jun- 30 July,15- 30 Oct,25.0,6.0,30.0,7.0,15.0,10.0,30.0,10.0,51
2381,Rajashthan,Dausa,109,Groundnut,Kharif,01- 15 June,15- 30 Oct,1.0,6.0,15.0,6.0,15.0,10.0,30.0,10.0,51
2382,Rajashthan,Dausa,109,Foxtail Millet,Kharif,,,,,,,,,,,51
2383,Rajashthan,Dausa,109,Sesame,Kharif,I wk July,01- 15 Oct,4.0,7.0,,,1.0,10.0,15.0,10.0,51
2384,Rajashthan,Dausa,109,Cotton,Kharif,,,,,,,,,,,51
2385,Rajashthan,Dausa,109,Wheat,Rabi,05- 25 Nov,25 Mar- 10 Apr,5.0,11.0,25.0,11.0,25.0,3.0,10.0,4.0,51
2386,Rajashthan,Dausa,109,Barley,Rabi,15 Oct- 30 Nov,15 Mar- 05 Apr,15.0,10.0,30.0,11.0,15.0,3.0,5.0,4.0,51
2387,Rajashthan,Dausa,109,Chickpea,Rabi,IS Oct- 30 Oct,25 Feb- 15 Mar,,,30.0,10.0,25.0,2.0,15.0,3.0,51
2388,Rajashthan,Dausa,109,Opium,Rabi,,,,,,,,,,,51
2389,Rajashthan,Dausa,109,Mustard,Rabi,15 Sep- 15 Oct,25 Jan- 15 Feb,15.0,9.0,15.0,10.0,25.0,1.0,15.0,2.0,51
2390,Rajashthan,Dausa,109,Taramira,Rabi,15 Sep- 10 Oct,25 Jan- 20 Feb,15.0,9.0,10.0,10.0,25.0,1.0,20.0,2.0,52
2391,Rajashthan,Dausa,109,Cumin,Rabi,,,,,,,,,,,52
2392,Rajashthan,Dausa,109,Fenugreek,Rabi,,,,,,,,,,,52
2393,Rajashthan,Dausa,109,Isbgol,Rabi,,,,,,,,,,,52
2394,Rajashthan,Dausa,109,Greengram,Summer,01 Mar- 15 Mar,15 May- 30 May,1.0,3.0,15.0,3.0,15.0,5.0,30.0,5.0,52
2395,Rajashthan,Dausa,109,Groundnut,Summer,,,,,,,,,,,52
2396,Rajashthan,Bhilwara,122,Pearlmillet,Kharif,15 June- 15 July,Mid Sep,15.0,6.0,15.0,7.0,15.0,9.0,,,52
2397,Rajashthan,Bhilwara,122,Sorghum,Kharif,15June-30June,Mid Sep- Mid Oct,15.0,6.0,30.0,6.0,15.0,9.0,15.0,10.0,52
2398,Rajashthan,Bhilwara,122,Maize,Kharif,15 June- 30 June,Mid Sep- Mid Oct,15.0,6.0,30.0,6.0,15.0,9.0,15.0,10.0,52
2399,Rajashthan,Bhilwara,122,Paddy,Kharif,,,,,,,,,,,52
2400,Rajashthan,Bhilwara,122,Soybean,Kharif,,,,,,,,,,,52
2401,Rajashthan,Bhilwara,122,Greengram,Kharif,Mid June,II fortnight of Sep,15.0,6.0,,,22.0,9.0,,,52
2402,Rajashthan,Bhilwara,122,Blackgram,Kharif,Mid June,II fortnight of Sep,15.0,6.0,,,22.0,9.0,,,52
2403,Rajashthan,Bhilwara,122,Moth,Kharif,,,,,,,,,,,52
2404,Rajashthan,Bhilwara,122,Clusterbean,Kharif,,,,,,,,,,,52
2405,Rajashthan,Bhilwara,122,Groundnut,Kharif,10 Jun-10 July,Mid Oct,10.0,6.0,10.0,7.0,15.0,10.0,,,52
2406,Rajashthan,Bhilwara,122,Sesame,Kharif,Mid July,Mid Oct,15.0,7.0,,,15.0,10.0,,,52
2407,Rajashthan,Bhilwara,122,Cotton,Kharif,Mid May- Mid Jun,15 Nov- 15 Dec,15.0,5.0,15.0,6.0,15.0,11.0,15.0,12.0,52
2408,Rajashthan,Bhilwara,122,Wheat,Rabi,05-25 Nov,Last wk of Mar,5.0,11.0,25.0,11.0,25.0,3.0,,,52
2409,Rajashthan,Bhilwara,122,Barley,Rabi,Mid Oct- Mid Nov,I fortnight of Mar,15.0,10.0,15.0,11.0,7.0,3.0,,,52
2410,Rajashthan,Bhilwara,122,Chickpea,Rabi,I wk of Oct,Mid Mar,4.0,10.0,,,15.0,3.0,,,52
2411,Rajashthan,Bhilwara,122,Lentil,Rabi,,,,,,,,,,,52
2412,Rajashthan,Bhilwara,122,Mustard,Rabi,I wk of Oct,Mid Feb- Mid Mar,4.0,10.0,,,15.0,2.0,15.0,3.0,52
2413,Rajashthan,Bhilwara,122,Opium,Rabi,25 Oct- 05 Nov,Mid Mar,25.0,10.0,5.0,11.0,15.0,3.0,,,52
2414,Rajashthan,Bhilwara,122,Taramira,Rabi,,,,,,,,,,,52
2415,Rajashthan,Bhilwara,122,Coriander,Rabi,,,,,,,,,,,52
2416,Rajashthan,Bhilwara,122,Cumin,Rabi,,,,,,,,,,,52
2417,Rajashthan,Bhilwara,122,Fenugreek,Rabi,,,,,,,,,,,52
2418,Rajashthan,Bhilwara,122,Isabgol,Rabi,,,,,,,,,,,52
2419,Rajashthan,Bhilwara,122,Greengram,Summer,15 Feb- 15 Mar,II fortnight of May,15.0,2.0,15.0,3.0,22.0,5.0,,,52
2420,Rajashthan,Bhilwara,122,Groundnut,Summer,Mid Feb,Mid June,15.0,2.0,,,15.0,6.0,,,52
2421,Rajashthan,Bhilwara,122,Pearlmillet,Kharif,15Jun-15July,15 Oct- 25 Oct,15.0,6.0,15.0,7.0,15.0,10.0,25.0,10.0,52
2422,Rajashthan,Bhilwara,122,Sorghum,Kharif,,,,,,,,,,,52
2423,Rajashthan,Bhilwara,122,Maize,Kharif,,,,,,,,,,,52
2424,Rajashthan,Bhilwara,122,Paddy,Kharif,,,,,,,,,,,52
2425,Rajashthan,Bhilwara,122,Soybean,Kharif,,,,,,,,,,,52
2426,Rajashthan,Bhilwara,122,Greengram,Kharif,15 Jun-15 July,10 Oct -15 Oct,15.0,6.0,15.0,7.0,10.0,10.0,15.0,10.0,52
2427,Rajashthan,Bhilwara,122,Blackgram,Kharif,,,,,,,,,,,52
2428,Rajashthan,Bhilwara,122,Moth,Kharif,15 Jun-15 July,10 Oct -15 Oct,15.0,6.0,15.0,7.0,10.0,10.0,15.0,10.0,52
2429,Rajashthan,Bhilwara,122,Clusterbean,Kharif,25 Jun-15 July,10 Oct -31 Oct,25.0,6.0,15.0,7.0,10.0,10.0,31.0,10.0,52
2430,Rajashthan,Bhilwara,122,Groundnut,Kharif,15June-30June,Mid Nov.,15.0,6.0,30.0,6.0,15.0,11.0,,,52
2431,Rajashthan,Bhilwara,122,Sesame,Kharif,15 Jun-15 July,10 Oct- IS Oct,15.0,6.0,15.0,7.0,10.0,10.0,,,52
2432,Rajashthan,Bhilwara,122,Cotton,Kharif,15 Apr-15 May,15 0ct-31 0ct,15.0,4.0,15.0,5.0,15.0,,31.0,,52
2433,Rajashthan,Bhilwara,122,Wheat,Rabi,10 Nov-25 Nov,10 Apr-20 Apr,10.0,11.0,25.0,11.0,10.0,4.0,20.0,4.0,52
2434,Rajashthan,Bhilwara,122,Barley,Rabi,15 Nov- 5 Dec,25 Mar- 5 Apr,15.0,11.0,5.0,12.0,25.0,3.0,5.0,4.0,52
2435,Rajashthan,Bhilwara,122,Chickpea,Rabi,10 Oct- 5 Nov,10 Mar -20 Mar,10.0,10.0,5.0,11.0,10.0,3.0,20.0,3.0,52
2436,Rajashthan,Bhilwara,122,Lentil,Rabi,,,,,,,,,,,52
2437,Rajashthan,Bhilwara,122,Mustard,Rabi,15 Oct- 10 Nov,1 wk to II wk of Mar,15.0,10.0,10.0,11.0,1.0,,11.0,3.0,52
2438,Rajashthan,Bhilwara,122,Opium,Rabi,,,,,,,,,,,52
2439,Rajashthan,Bhilwara,122,Taramira,Rabi,15 Oct- 31 Oct,1 wk to II wk of Mar,15.0,10.0,31.0,10.0,1.0,,11.0,3.0,53
2440,Rajashthan,Bhilwara,122,Coriander,Rabi,,,,,,,,,,,53
2441,Rajashthan,Bhilwara,122,Cumin,Rabi,01 Nov- 15 Nov,10 Mar - 15 Mar,1.0,11.0,15.0,11.0,10.0,3.0,15.0,3.0,53
